,METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
103,1521,0,24,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
104,6641,0,34,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
105,6641,0,38,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
106,1521,37119,57,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
107,1521,37119,23,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
108,6641,0,60,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
109,6641,0,61,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
110,3121,37067,21,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
111,1521,37119,35,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
112,2560,0,28,1,5,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
113,2560,0,28,2,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
114,3122,0,49,2,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
115,1521,37119,49,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
116,1521,37119,41,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
117,1521,37119,42,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
118,6642,0,67,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
119,6642,0,33,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
120,1521,37119,54,1,5,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
121,6642,0,30,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
122,6642,0,31,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
123,1521,37119,31,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
124,6642,0,58,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
125,6641,0,46,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
126,6641,0,43,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
127,6641,0,35,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
128,3121,37067,53,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
129,3121,37067,54,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
130,6642,0,42,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
131,6642,0,40,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
132,1521,37119,61,2,5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
133,6641,0,57,2,5,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
134,3121,37067,34,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
135,3121,37067,29,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
136,2560,0,61,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
137,6642,0,33,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
138,6642,0,37,1,5,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
139,6641,0,39,1,5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
140,1521,37119,42,1,5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
