YEAR,MONTH,METAREA,COUNTY,AGE,SEX,RACE,MARST,HISPAN,EDUC,COVIDTELEW,COVIDUNAW,education,marital_status,gender
2020,5,6641,0,57,2,100,6,0,123,2,1,Graduate or Professional Degree,Single,Female
2020,5,6642,0,43,1,100,3,0,111,1,1,Bachelor's,,Male
2020,5,3122,0,33,1,200,6,0,73,1,1,High School or below,Single,Male
2020,5,6641,0,43,2,200,6,0,123,2,1,Graduate or Professional Degree,Single,Female
2020,5,3122,0,51,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,3122,0,49,2,100,1,0,111,1,1,Bachelor's,Married,Female
2020,5,3122,0,33,1,100,1,500,60,1,2,High School or below,Married,Male
2020,5,1521,37119,32,1,651,1,0,124,2,1,Graduate or Professional Degree,Married,Male
2020,5,1521,37119,27,1,100,6,0,111,2,1,Bachelor's,Single,Male
2020,5,1521,37119,27,1,100,6,0,111,2,1,Bachelor's,Single,Male
2020,5,1521,0,42,2,100,6,0,111,2,1,Bachelor's,Single,Female
2020,5,1521,0,38,2,100,6,0,111,1,2,Bachelor's,Single,Female
2020,5,1521,37179,58,2,100,1,0,111,1,1,Bachelor's,Married,Female
2020,5,1521,37179,54,1,100,1,0,73,1,1,High School or below,Married,Male
2020,5,1521,37179,18,2,100,6,0,92,1,1,Some College or Associate Degree,Single,Female
2020,5,1521,37179,26,1,100,6,0,91,1,1,Some College or Associate Degree,Single,Male
2020,5,6642,0,54,2,200,1,0,123,2,2,Graduate or Professional Degree,Married,Female
2020,5,6642,0,55,1,200,1,0,92,1,1,Some College or Associate Degree,Married,Male
2020,5,6642,0,60,2,100,4,0,111,2,1,Bachelor's,Divorced,Female
2020,5,1521,0,28,1,100,1,0,73,1,1,High School or below,Married,Male
2020,5,6642,0,41,2,200,6,0,123,2,1,Graduate or Professional Degree,Single,Female
2020,5,6641,0,66,1,100,1,0,125,2,1,Graduate or Professional Degree,Married,Male
2020,5,6641,0,69,2,100,1,0,125,2,1,Graduate or Professional Degree,Married,Female
2020,5,1521,37159,48,2,100,5,0,73,1,1,High School or below,,Female
2020,5,3121,0,49,1,100,1,0,92,1,1,Some College or Associate Degree,Married,Male
2020,5,3121,0,19,2,802,1,0,92,1,1,Some College or Associate Degree,Married,Female
2020,5,6641,0,35,1,100,1,0,92,1,1,Some College or Associate Degree,Married,Male
2020,5,6641,0,35,2,100,1,0,111,1,1,Bachelor's,Married,Female
2020,5,6641,0,40,2,100,6,0,125,2,1,Graduate or Professional Degree,Single,Female
2020,5,6641,0,56,1,100,4,0,111,1,1,Bachelor's,Divorced,Male
2020,5,1521,0,50,2,200,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,0,48,1,200,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,1521,0,51,1,100,1,0,111,1,1,Bachelor's,Married,Male
2020,5,1521,0,36,1,100,6,0,73,1,1,High School or below,Single,Male
2020,5,1521,37159,62,1,200,4,0,91,1,1,Some College or Associate Degree,Divorced,Male
2020,5,6642,0,56,1,100,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,6642,0,47,2,100,1,0,73,1,1,High School or below,Married,Female
2020,5,3121,37057,44,2,802,4,612,60,2,2,High School or below,Divorced,Female
2020,5,6642,0,62,1,100,1,0,111,1,2,Bachelor's,Married,Male
2020,5,6642,0,35,2,100,6,0,91,1,2,Some College or Associate Degree,Single,Female
2020,5,6641,0,27,2,100,6,0,123,2,1,Graduate or Professional Degree,Single,Female
2020,5,6641,0,38,1,100,6,0,111,2,1,Bachelor's,Single,Male
2020,5,1521,0,47,1,651,1,0,111,2,1,Bachelor's,Married,Male
2020,5,1521,0,43,2,651,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,6641,0,21,1,100,6,0,81,1,1,Some College or Associate Degree,Single,Male
2020,5,6641,0,49,1,100,1,0,123,2,2,Graduate or Professional Degree,Married,Male
2020,5,6641,0,50,2,100,1,0,123,2,2,Graduate or Professional Degree,Married,Female
2020,5,6642,0,51,1,100,1,0,111,1,1,Bachelor's,Married,Male
2020,5,6642,0,51,2,651,1,0,111,1,1,Bachelor's,Married,Female
2020,5,6642,0,30,1,100,3,0,111,2,1,Bachelor's,,Male
2020,5,3122,0,56,1,200,1,0,124,1,1,Graduate or Professional Degree,Married,Male
2020,5,3122,0,56,2,200,1,400,111,1,1,Bachelor's,Married,Female
2020,5,6642,0,37,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,6642,0,61,1,651,1,0,123,1,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,57,2,651,1,0,123,1,1,Graduate or Professional Degree,Married,Female
2020,5,1521,37119,63,1,100,4,0,73,2,1,High School or below,Divorced,Male
2020,5,6642,0,44,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,6642,0,47,2,100,1,0,91,1,1,Some College or Associate Degree,Married,Female
2020,5,6642,0,36,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,6642,0,36,1,100,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,1521,0,61,1,100,1,100,111,2,2,Bachelor's,Married,Male
2020,5,1521,0,57,2,100,1,0,81,1,1,Some College or Associate Degree,Married,Female
2020,5,1521,37119,55,1,100,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,1521,37159,54,1,100,4,0,60,1,2,High School or below,Divorced,Male
2020,5,3121,37067,69,1,100,1,0,73,1,1,High School or below,Married,Male
2020,5,6641,0,51,2,200,6,0,123,2,1,Graduate or Professional Degree,Single,Female
2020,5,1521,37179,62,1,100,1,0,111,1,1,Bachelor's,Married,Male
2020,5,1521,37179,63,2,100,1,0,92,2,1,Some College or Associate Degree,Married,Female
2020,5,6641,0,39,1,100,1,612,124,2,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,57,1,200,4,0,73,1,1,High School or below,Divorced,Male
2020,5,6642,0,57,1,100,1,100,60,1,1,High School or below,Married,Male
2020,5,6642,0,44,2,100,1,100,60,1,1,High School or below,Married,Female
2020,5,3122,0,53,1,100,4,0,91,1,2,Some College or Associate Degree,Divorced,Male
2020,5,6641,0,61,2,100,1,0,91,1,1,Some College or Associate Degree,Married,Female
2020,5,6641,0,58,1,100,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,6642,0,53,1,100,1,0,111,1,1,Bachelor's,Married,Male
2020,5,6642,0,58,2,100,1,0,92,1,2,Some College or Associate Degree,Married,Female
2020,5,2560,0,51,1,100,1,0,111,1,1,Bachelor's,Married,Male
2020,5,1521,0,47,2,100,3,0,111,2,1,Bachelor's,,Female
2020,5,1521,0,19,1,100,6,0,81,1,1,Some College or Associate Degree,Single,Male
2020,5,6642,0,50,2,651,1,0,111,2,1,Bachelor's,Married,Female
2020,5,6642,0,52,1,651,1,0,111,2,1,Bachelor's,Married,Male
2020,5,9999,0,50,1,100,1,0,92,1,1,Some College or Associate Degree,Married,Male
2020,5,6642,0,39,2,100,6,0,123,2,1,Graduate or Professional Degree,Single,Female
2020,5,1521,0,27,1,100,1,300,111,1,1,Bachelor's,Married,Male
2020,5,1521,0,26,2,100,1,300,111,2,1,Bachelor's,Married,Female
2020,5,1521,0,49,1,100,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,1521,0,45,2,100,1,0,73,1,2,High School or below,Married,Female
2020,5,1521,0,22,1,100,6,0,81,1,1,Some College or Associate Degree,Single,Male
2020,5,6642,0,54,2,200,1,0,81,2,1,Some College or Associate Degree,Married,Female
2020,5,6642,0,47,1,100,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,19,2,100,6,0,81,1,1,Some College or Associate Degree,Single,Female
2020,5,1521,0,37,2,100,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,1521,0,43,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,1521,37119,27,1,651,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,1521,37119,27,2,651,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,1521,0,57,2,100,1,0,81,1,1,Some College or Associate Degree,Married,Female
2020,5,1521,0,59,1,100,1,0,73,1,1,High School or below,Married,Male
2020,5,6641,0,50,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,6641,0,52,2,100,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,6641,0,18,1,100,6,0,60,1,2,High School or below,Single,Male
2020,5,1521,37119,43,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,9999,0,51,2,200,1,0,81,1,1,Some College or Associate Degree,Married,Female
2020,5,9999,0,52,1,200,1,0,81,1,2,Some College or Associate Degree,Married,Male
2020,5,9999,0,22,2,200,6,0,92,1,1,Some College or Associate Degree,Single,Female
2020,5,1521,0,50,1,100,4,0,125,1,2,Graduate or Professional Degree,Divorced,Male
2020,5,3121,37057,41,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,6642,0,55,2,100,1,0,73,1,1,High School or below,Married,Female
2020,5,6642,0,61,1,100,1,0,111,1,1,Bachelor's,Married,Male
2020,5,6642,0,35,1,651,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,30,2,651,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,37119,26,2,100,6,611,81,1,1,Some College or Associate Degree,Single,Female
2020,5,1521,37119,46,2,100,1,611,73,1,1,High School or below,Married,Female
2020,5,1521,37119,53,1,100,1,611,73,1,1,High School or below,Married,Male
2020,5,1521,37119,22,1,100,6,611,81,1,1,Some College or Associate Degree,Single,Male
2020,5,1521,37119,39,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,1521,0,73,2,100,5,0,73,1,1,High School or below,,Female
2020,5,1521,0,33,2,100,1,0,73,1,1,High School or below,Married,Female
2020,5,1521,0,36,1,100,1,0,73,2,1,High School or below,Married,Male
2020,5,1521,0,66,1,100,1,0,81,1,2,Some College or Associate Degree,Married,Male
2020,5,1521,0,62,2,100,1,0,123,1,2,Graduate or Professional Degree,Married,Female
2020,5,1521,0,54,1,100,1,0,91,1,1,Some College or Associate Degree,Married,Male
2020,5,6642,0,40,1,100,1,0,123,1,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,28,1,651,1,0,111,2,1,Bachelor's,Married,Male
2020,5,3122,0,26,2,100,6,0,81,1,1,Some College or Associate Degree,Single,Female
2020,5,3121,37067,27,2,100,1,0,92,1,1,Some College or Associate Degree,Married,Female
2020,5,3121,37067,32,1,100,1,0,73,1,1,High School or below,Married,Male
2020,5,3121,37067,52,1,100,1,0,123,1,1,Graduate or Professional Degree,Married,Male
2020,5,9999,0,68,2,100,5,0,111,1,1,Bachelor's,,Female
2020,5,6641,0,37,1,100,1,0,125,1,1,Graduate or Professional Degree,Married,Male
