METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
6641,0,60,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,61,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3121,37067,21,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1521,37119,35,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
2560,0,28,1,5,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
2560,0,28,2,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3122,0,49,2,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,37119,49,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,41,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,42,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,67,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
6642,0,33,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
1521,37119,54,1,5,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
6642,0,30,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,31,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,31,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
6642,0,58,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6641,0,46,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
6641,0,43,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6641,0,35,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
3121,37067,53,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
3121,37067,54,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,42,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,40,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,37119,61,2,5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
6641,0,57,2,5,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
3121,37067,34,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
3121,37067,29,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
2560,0,61,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
6642,0,33,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,37,1,5,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
6641,0,39,1,5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
1521,37119,42,1,5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1521,37119,42,1,5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
1521,37119,17,2,5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
3122,0,51,1,5,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
